mouse,date,alpha,beta,kappa,nll,n_trials,group,frac_forced_trials,reward_probs_observed,cohort,cohort_family,condition,age_days,age_bin
WCL31,081723,0.9001008994187835,2.1679189139355706,1.1084551724344152,161.36024541657014,591,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,170.0,
WCL32,081623,0.8114177254684577,1.9885391845394063,0.7784002898965483,150.5342217951316,414,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,169.0,
WCL32,081823,0.736897600644945,3.3530264782855936,0.9109039253610717,77.67224831596766,337,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,171.0,
WCL33,081523,0.6566960447828297,3.3414394517244848,1.3016682107558428,96.01715103494722,552,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,168.0,
WCL33,081723,0.6847274394296478,2.4289314079529785,1.6143343972320086,118.23919917508717,619,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,170.0,
SM1N,062324,0.5948447601185148,0.9879059114642859,0.8983876951623772,155.52016491385035,309,non_boundary,1.0,"[0.0, 1.0]",SM,SM,80/20,,P70
SM1L,062424,0.9999,0.5966533292572909,1.4783125635673906,135.46497248632957,313,fast_learner,1.0,"[0.0, 1.0]",SM,SM,80/20,,P70
SM2N,062424,0.9999,1.2289390743067898,0.7394893439143875,138.7281333721142,313,fast_learner,1.0,"[0.0, 1.0]",SM,SM,80/20,,P70
SM2R,062424,0.5128469763182858,0.8768284822242336,1.478365420872054,146.29098233584048,333,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P70
SM1N,062524,0.9999,0.9605122063494304,0.7080949749264058,177.62289909234337,330,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P70
SM1L,062624,0.0005870219734597211,50.0,2.272890540818278,157.37541195167609,519,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P70
SM2N,062624,0.046820658195590295,6.439581975581795,1.288115206681503,40.42480476583917,115,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P70
SM2R,062624,0.4922522470205528,1.5018711029639478,1.2817641948222391,152.02003803465163,361,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P70
SM1N,062724,0.7113420738644516,1.4105772434475552,1.1616146635787834,151.2172059524988,361,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P70
SM1L,062824,0.00026464667994563127,50.0,2.107395306970734,184.57982944934272,541,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P80
SM2N,062824,0.9999,1.895327146693076,1.804026720313733,102.09448313005755,388,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P80
SM2R,062824,0.8452165797802651,1.7151250378233462,1.3134186896985218,152.05060124053628,437,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P80
SM1L,070224,0.8634575426890916,1.4165117935118574,1.4562969676376354,158.59216998418097,426,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P80
SM2N,070224,0.003932986624680586,50.0,1.8217060715311868,109.29389178993104,480,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P80
SM2R,070224,0.9999,0.886651093693208,1.3698672974330384,204.29531933986044,479,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P80
SM1N,070324,0.9899202038031254,1.4884165135914982,0.8413559906473838,50.28365953050639,108,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P80
SM1L,070824,0.7261705350395783,1.3460285191393913,1.5637149883092718,146.27517901599649,411,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM2N,070824,0.5742820552333953,1.7001261001556052,1.888482072233035,95.95402195465995,332,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM2R,070824,0.07161228535507329,5.83999432696284,1.3515236511385171,165.0526145157288,407,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM1N,070924,0.7002686992338472,1.445747711021664,1.1170887894078636,55.85469640175387,127,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM1L,071024,0.9999,1.196234314664418,1.860424307403099,165.65094113617945,538,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM2N,071024,0.550404135915382,1.5649880770587181,2.1827210368299443,78.57634332166306,316,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM2R,071024,0.9299454088635764,1.1017117125070488,0.860998206173798,213.50006613880274,429,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM1N,071124,0.6682959816978069,0.6202101778449498,1.6240893413043547,101.69653440032837,241,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM1L,071224,0.39227021747174456,1.8430869802773326,1.8883245973910445,163.8845716529954,533,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM2N,071224,0.9999,1.0400584592082973,1.511093893085462,188.33733724536086,486,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM2R,071224,0.38155139810943917,1.8290082186532535,1.2668361617026578,136.1953383401591,324,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM1N,071324,0.9999,1.8253823728759164,0.7893478764967379,89.47395132517595,219,fast_learner,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM1L,071524,0.6754038719039168,1.5532750627212273,1.6801944826237876,131.57843743679754,411,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
SM2N,071524,0.6458119743183391,1.7928035769781736,1.4613157750016463,83.75327701724004,249,non_boundary,0.0,"[0.2, 0.2, 0.8]",SM,SM,80/20,,P90
